date,home,away,home_sp,away_sp,bet_side,dk_home,dk_away,dk_home_ml,dk_away_ml,poly_home,poly_away,lgb_home,lgb_away,kalshi_home,kalshi_away,edge,won,pnl,result
2025-09-18,NYM,SD,Jonah Tong,Randy Vásquez,away,0.551,0.449,-142.0,109.0,0.57,0.43,0.435,0.565,0.57,0.43,0.135,0,-0.43,home_win
2025-09-19,NYM,WSH,Brandon Sproat,Andrew Alvarez,away,0.672,0.328,-238.0,191.0,0.66,0.34,0.541,0.459,0.69,0.31,0.149,0,-0.31,home_win
2025-09-20,LAD,SF,Tyler Glasnow,Kai-Wei Teng,away,0.683,0.317,-252.0,201.0,0.69,0.31,0.586,0.414,0.69,0.31,0.104,0,-0.31,home_win
2025-09-21,LAD,SF,Emmet Sheehan,Trevor McDonald,away,0.656,0.344,-220.0,177.0,0.66,0.34,0.564,0.436,0.67,0.33,0.106,1,0.67,away_win
2025-09-21,AZ,PHI,Eduardo Rodriguez,Ranger Suarez,away,0.455,0.545,110.0,-133.0,0.44,0.56,0.348,0.652,0.46,0.54,0.112,0,-0.54,home_win
2025-09-23,SEA,COL,Bryce Miller,McCade Brown,away,0.734,0.266,-356.0,253.0,,,0.61,0.39,0.73,0.27,0.12,0,-0.27,home_win
2025-09-24,NYY,CWS,Max Fried,Fraser Ellard,away,0.809,0.191,-620.0,393.0,0.75,0.25,0.663,0.337,0.77,0.23,0.107,0,-0.23,home_win
2025-09-24,ATL,WSH,Bryce Elder,Andrew Alvarez,away,0.529,0.471,-129.0,-101.0,,,0.465,0.535,0.64,0.36,0.175,1,0.64,away_win
2025-09-25,SEA,COL,Emerson Hancock,Bradley Blalock,away,0.729,0.271,-347.0,247.0,0.56,0.44,0.647,0.353,0.75,0.25,0.103,0,-0.25,home_win
2025-09-25,PHI,MIA,Walker Buehler,Janson Junk,away,0.61,0.39,-185.0,141.0,0.44,0.56,0.481,0.519,0.59,0.41,0.109,0,-0.41,home_win
2025-09-26,ATL,PIT,Joey Wentz,Mitch Keller,away,0.584,0.416,-158.0,129.0,0.58,0.42,0.474,0.526,0.59,0.41,0.116,1,0.59,away_win
2025-09-26,MIA,NYM,Sandy Alcantara,Brandon Sproat,home,0.438,0.562,118.0,-143.0,0.44,0.56,0.572,0.428,0.44,0.56,0.132,1,0.56,home_win
2025-09-26,BOS,DET,Kyle Harrison,Casey Mize,home,0.527,0.473,-123.0,102.0,0.54,0.46,0.641,0.359,0.54,0.46,0.101,1,0.46,home_win
2025-09-27,BOS,DET,Connelly Early,Keider Montero,home,0.523,0.477,-121.0,100.0,0.52,0.48,0.633,0.367,0.53,0.47,0.103,0,-0.53,away_win
2025-09-27,MIA,NYM,Eury Pérez,Clay Holmes,home,0.438,0.562,118.0,-143.0,0.44,0.56,0.548,0.452,0.44,0.56,0.108,0,-0.44,away_win
