game_pk,game_date,home_team,away_team,home_win,sim_home_wp,kalshi_home_prob,edge,sim_total_runs,sim_home_runs,sim_away_runs,kalshi_volume
778174,2025-04-26,CHC,PHI,0,0.522,0.49,0.03200000000000003,8.294,4.115,4.179,32255.0
778165,2025-04-26,ATH,CWS,0,0.441,0.67,-0.22900000000000004,9.879999999999999,4.607,5.273,14917.0
778167,2025-04-26,KC,HOU,1,0.436,0.43,0.006000000000000005,10.49,4.711,5.779,40560.0
778162,2025-04-26,AZ,ATL,0,0.423,0.53,-0.10700000000000004,9.732,4.4,5.332,98077.0
778153,2025-04-27,WSH,NYM,1,0.406,0.45,-0.043999999999999984,9.822,4.217,5.605,19266.0
778156,2025-04-27,NYY,TOR,1,0.416,0.68,-0.26400000000000007,7.9559999999999995,3.419,4.537,20236.0
778170,2025-04-27,NYY,TOR,1,0.519,0.68,-0.16100000000000003,11.065999999999999,5.46,5.606,20236.0
778157,2025-04-27,CLE,BOS,0,0.339,0.52,-0.181,9.934999999999999,4.01,5.925,9163.0
778155,2025-04-27,DET,BAL,1,0.483,0.72,-0.237,8.719000000000001,4.138,4.581,9244.0
778144,2025-04-27,MIN,LAA,1,0.628,0.64,-0.01200000000000001,8.157,4.526,3.631,9836.0
778152,2025-04-27,KC,HOU,0,0.564,0.43,0.13399999999999995,9.151,4.694,4.457,14238.0
778150,2025-04-27,STL,MIL,0,0.527,0.49,0.03700000000000003,9.327000000000002,4.73,4.597,17111.0
778148,2025-04-27,COL,CIN,0,0.384,0.4,-0.016000000000000014,9.054,3.808,5.246,23047.0
778151,2025-04-27,SF,TEX,1,0.5,0.57,-0.06999999999999995,9.208,4.468,4.74,51266.0
778149,2025-04-27,ATH,CWS,1,0.596,0.64,-0.04400000000000004,9.506,5.19,4.316,23531.0
778145,2025-04-27,LAD,PIT,1,0.644,0.77,-0.126,8.469000000000001,4.852,3.617,12037.0
778146,2025-04-27,SD,TB,0,0.617,0.51,0.10699999999999998,10.26,5.537,4.723,47156.0
778147,2025-04-27,AZ,ATL,1,0.429,0.46,-0.031000000000000028,8.921,4.031,4.89,32746.0
778136,2025-04-27,SEA,MIA,1,0.447,0.59,-0.14299999999999996,9.745999999999999,4.486,5.26,15578.0
778158,2025-04-27,CHC,PHI,0,0.564,0.52,0.04399999999999993,9.506,4.909,4.597,107683.0
778138,2025-04-28,WSH,NYM,0,0.586,0.38,0.20599999999999996,8.965,4.827,4.138,54646.0
778139,2025-04-28,CLE,MIN,0,0.412,0.54,-0.12800000000000006,8.126000000000001,3.532,4.594,39909.0
778140,2025-04-28,BAL,NYY,1,0.448,0.45,-0.0020000000000000018,9.966999999999999,4.585,5.382,97787.0
778141,2025-04-28,CIN,STL,1,0.365,0.53,-0.16500000000000004,9.045,3.754,5.291,25239.0
778143,2025-04-28,TEX,ATH,0,0.496,0.52,-0.02400000000000002,10.617999999999999,5.119,5.499,48534.0
778142,2025-04-28,HOU,DET,1,0.496,0.52,-0.02400000000000002,8.986,4.342,4.644,38469.0
778137,2025-04-28,COL,ATL,0,0.581,0.39,0.19099999999999995,9.905999999999999,5.274,4.632,41508.0
778132,2025-04-28,LAD,MIA,1,0.578,0.73,-0.15200000000000002,9.041,4.852,4.189,59435.0
778129,2025-04-29,CLE,MIN,1,0.617,0.56,0.05699999999999994,9.352,5.1,4.252,58759.0
778133,2025-04-29,BAL,NYY,0,0.584,0.39,0.19399999999999995,9.521999999999998,5.1,4.422,18160.0
778135,2025-04-29,PIT,CHC,0,0.532,0.42,0.11200000000000004,8.708,4.392,4.316,22635.0
778131,2025-04-29,PHI,WSH,1,0.635,0.65,-0.015000000000000013,8.324,4.702,3.622,56686.0
